Tweets,DateTime,sentiment,country
 The long term implications for HCWs who have been through this will be devastating We are still a long way from the end of all this And even then it will impact with mental health implications for HCWs and long covid for many who have been infected,2021-01-01 03:48:01+00:00,negative,
  Masked  My keyboard has long covid,2021-01-01 08:00:42+00:00,neutral,
 Recovery for longcovid sufferers too Then countlongcovid and funds for research would be a good place to start,2021-01-01 14:14:36+00:00,positive,
 So sorry to hear you have long Covid may your recovery continue Occ health are the folk to assess what work you could do Good luck,2021-01-01 15:17:17+00:00,negative,
  There is no age limit on those suffering longCOVID  Niece mother of 2 journalist still totally unable to work after 3 months Husband still with symptoms after 3mths Many with permanent lung heart and kidney issues  1 in 20 of cases suffer long COVID,2021-01-01 18:05:36+00:00,negative,
      Still have long covid symptoms but lot better thanks,2021-01-01 18:32:26+00:00,positive,
"  More than 4 out of 10 people who go in to Hospital die

Thats just hard facts 200K in Hospital 80K  dead

Also 1 in 17 who die are 59 or under many a good bit under

And Long Covid is going to cost those who suffer and the NHS dearly for years too

All sad and all true",2021-01-01 19:53:30+00:00,negative,
  Will the leading researchers sponsor clinical trials in Long Haulers Currently 0 have been done It is paramount CytoDyn has one starting soon for Leronlimab but that is it Clinical trials for Long COVID using antivirals needs to happen before the medical world regrets it,2021-01-01 20:29:55+00:00,neutral,
 47 Long Covid for 8 months,2021-01-01 20:37:35+00:00,neutral,
"   US Swineflu H1N1
61 million cases
274304 hospitalizations
12469 deaths
002 fatality rate

US COVID19 just so far these numbers are climbing
201 million cases
690665 hospitalizations
347787 deaths
170 fatality rate

LongCovid is real
",2021-01-02 04:07:37+00:00,neutral,
"Its human nature that we arent always as interested as we should be UNTIL it directly effects someone we know 

We NEED YOUR INTEREST so that people you know DONT have to share our story

Please sign and tweet  

LongCovid  CampaignForKids 

",2021-01-02 08:14:06+00:00,negative,
    Long covid and long term illness also affects people for the rest of their lives Need to be closed while mass vaccinations take place And if Londin in Tier 4 deemed to need closure of schools so do other tier 4 areas The spread will impact other areas so slow the spread,2021-01-02 11:19:39+00:00,negative,
 along with longcovid we no have knobcovid to sterilise the nation,2021-01-02 13:02:28+00:00,negative,
"    Ah only deaths are important Not serious illness leading to hospital admission Not debilitating Long Covid Just deaths
How are you doing with your homework",2021-01-02 15:50:41+00:00,neutral,
"Reminder you can break every ethics code cause countless amounts of sickness enable over 8000 deaths AND keep your job and be worshipped in Sweden 
tegnell covid19sverige covid19sweden bytStrategiNu Covid LongCovid historyiswatching  fhmgate svpol ",2021-01-02 17:44:10+00:00,negative,Sweden
 Maybe no one at that party you did not go to would have died But you might have caught it and recovered but given it to someone else And maybe even they didnt die But statistically someone somewhere down the line would have either died or developed LongCovid ,2021-01-02 17:50:12+00:00,negative,
 I think a lot of doctors could do with knowing more about the similarities between some forms of long covid and MECFS  so they dont mistakenly recommend exercise when it can cause lasting illness,2021-01-02 18:39:18+00:00,negative,
"  In terms of acute illness we may have a picture now that indicates similar risk level however knowing that MISC generally doesnt appear until quite some time after as well as numbers on LongCovid things may turn out to be different
Therefore spread should be prevented",2021-01-02 18:50:22+00:00,neutral,
 I agree But Long Covid remains to be an outlier Something you hear stories of in media from epidemiologists and random low follower count twitter users who claim to be None of my friends and family whove had covid complain of long term effects so I dont fear those much,2021-01-02 19:04:56+00:00,neutral,
" My friend died from Covid19
Ah but she was half Asian and chubby
My friend is currently prone on a Ventilator
Ah but he is 60
My 36 year old friend has long Covid
Ah but hes over 6ft
This virus does not discriminate",2021-01-02 20:03:15+00:00,negative,
  Thanks that is really interesting I will research this to see if my LongCovid symptoms might be connected to this,2021-01-02 20:13:39+00:00,positive,
 1 IN 3 MILD CASES SUFFER PERMANENT LUNGHEARTKIDNEYBLOODBRAIN DAMAGE idiot BMJ Long covid Damage to MULTIPLE ORGANS presents in young low risk patients   ,2021-01-03 07:22:15+00:00,negative,
 Two colleagues and several kids in my school The one colleague had long covid that lasted 2 months,2021-01-03 08:31:03+00:00,neutral,
 All the more reason to be cautious There will be cases like that and of PIMS and of LongCovid and every case is one too many But re children what really worries me is the much longer view which seems to be playing zero role in current decisonmaking,2021-01-03 10:51:28+00:00,negative,
 ESR is plying but lets calm down I also hear that Havertz is currently suffering from the effects of long COVID,2021-01-03 11:18:33+00:00,neutral,
  I take all my supplements together after dinner with a pint of water Vitamin D Vitamin B12 Omega 7 and Zinc Zinc is the only one Ive added I took all the others before COVID,2021-01-03 12:27:15+00:00,neutral,
   I echo that,2021-01-03 14:07:38+00:00,positive,
 I caught Covid in school probably off a child Had DVT 2 lung clots viral meningitis brain bleed amp long covid On amp Im  a mum of 3 Id rather use a car trampoline and go swimming u daft silly woman Our families are in danger because we educate your children ,2021-01-03 14:51:30+00:00,negative,
   And before you say lockdowns hurt people Yes So does long covid And so does losing a loved one in a country that chose not to mandate masks even for care home staff because we never said we wanted to stop all the spread to quote Tegnell,2021-01-03 16:25:30+00:00,negative,
   But in the article he says hes not sure he is over it possibly referring to long Covid So from what I read he wasnt giving the impression that it wasnt that bad,2021-01-03 19:23:49+00:00,negative,
" Itll be rubbish But you would be best to ask PHE  its their data

In this pandemic with new labs and processes in place only a fraction of cases will be reported through usual channels Eg  no way my positive case was My GP only knew when I consulted later with Long COVID",2021-01-03 22:47:42+00:00,negative,
  What specific examples does he have of being accused of moving too fast Seems to be an example of brain fog which is a Long Covid symptom Perhaps he needs to stand down,2021-01-04 09:10:11+00:00,negative,
    I also dont want to subject them or any other children to the effects of long covid LongCovidKids,2021-01-04 12:40:49+00:00,negative,
    Its called Long Covid and Im one of them,2021-01-04 16:43:54+00:00,negative,
   yes  our study is not a prevalence study but a study of symptoms given that one already has Long COVID ,2021-01-04 19:21:43+00:00,neutral,
Finally BJ has acknowledged that schools are places where covid can spread thank you   for your continued advocacy COVID19  ,2021-01-04 20:09:25+00:00,positive,
 Renamed  long Covid ,2021-01-04 20:31:02+00:00,neutral,
   Sending you so much love This is the side of it people dont realise Life long covid the side effects from having it I hope your ok x,2021-01-04 22:25:25+00:00,neutral,
   In my extremely amateur and not well educated opinion I think that SARS Cov 2 has a stronger disposition to find reservoirs in hosts that allow to be more persistent thus creating more opportunities for mutations see immunocompromised and long covid pts,2021-01-05 03:26:36+00:00,neutral,
   How fortunate he didnt get long covid ,2021-01-05 10:33:52+00:00,neutral,
    Its an infinity loop of fatigue and forgetfulness with no clear end in sight   I couldnt have said it better myself,2021-01-05 10:57:28+00:00,negative,
